Student Number,Height (cm),Weight (kg),Inseam Length (cm),Exercise Type,Distance (walking) (m),time (s),number of steps,cadence,speed (m/s)
0,183,84,94,Walk,10.09,5.674,6,52.954017,1.778286923
0,183,84,94,Walk,10.46,6.024,4,29.989465,1.736387782
0,183,84,94,Walk,10.6,12.458,15,67.499636,0.850858886
0,183,84,94,Walk,10.6,2.088,4,88.520357,5.076628352
1,179,92.3,90,Walk,10,5.71,6,52.557559,1.751313485
1,179,92.3,90,Walk,11,4.087,5,58.742447,2.691460729
1,179,92.3,90,Walk,10.01,7.123,3,25.676333,1.405306753
1,179,92.3,90,Walk,10.12,10.299,3,20.073689,0.982619672
2,SAMPLE,80,,Walk,,,,,
2,SAMPLE,80,,Walk,,,,,
2,SAMPLE,80,,Walk,,,,,
2,SAMPLE,80,,Walk,,,,,
3,173,97,92,Walk,10.43m,17.395,11,34.581446,0.599
3,173,97,92,Walk,10.70m,12.175,9,39.439645,0.878
3,173,97,92,Walk,10.29m,8.355,8,50.292354,1.231
3,173,97,92,Walk,10.82m,6.377,7,56.475787,1.697
4,167,57,89,Walk,10.44,32.005,14,24.592868,0.326
4,167,57,89,Walk,10.48,22.124,12,30.026408,0.474
4,167,57,89,Walk,10.28,10.466,9,45.922475,0.982
4,167,57,89,Walk,10.5,8.817,9,54.480746,1.191
5,182,76,89,Walk,10.2,32.766,14,24.0084,0.31
5,182,76,89,Walk,10.1,12.066,9,40.295167,0.837
5,182,76,89,Walk,10,6.432,7,56.023994,1.5547
5,182,76,89,Walk,10.1,5.373,6,55.939,1.8798
6,171,82,95,Walk,10.2,20.554,12,32.176,0.496
6,171,82,95,Walk,10.45,10.551,9,45.522,0.99
6,171,82,95,Walk,10.17,6.559,7,54.909,1.551
6,171,82,95,Walk,10.24,4.805,6,62.453,2.131
7,182,85,93,Walk,10.37,,,,
7,182,85,93,Walk,10.42,,,,
7,182,85,93,Walk,10.9,,,,
7,182,85,93,Walk,10,,,,